No,Judul Berita,Isi Berita,isHoax
5861,WhatsApp Kini Bisa Kirim Chat Tanpa Koneksi Internet!,WhatsApp Kini Bisa Kirim Chat Tanpa Koneksi Internet! Simak Caranya Berikut,TRUE
5862,Ribuan WNA China Diberi KTP Elektronik Untuk Pemilu 2024,Imam Masjid di New York Sampai Geleng-geleng Lihat Ribun WNA China Diberi KTP Buat Pemilu 2024. KEREEEENNN..!!! :+1::skin-tone-2:,TRUE
5863,Seorang Pemain Klub Sepak Bola Al-Nassr Dipecat Karena Tolak Berikan Nomor Punggung 7 Untuk Ronaldo,Apparently this guy didnt want to give away his number 7 shirt to Ronaldo so the club terminated his contract :sob:,TRUE
5864,Video Siswa SMA dansa buah karya Mendikbud dan Menag”,"Akun Facebook TV BANDA ELY (fb.com/100065114347832) pada 13 Januari 2023 mengunggah sebuah video yang memperlihatkan siswa-siswi yang sedang berdansa dengan narasi: Hallo…p Mendikbud dan Menag apa kabar,.. (?) inikah buah karya kalian",TRUE
5865,Foto Woow elon pun nambang koin pi Network juga”,Akun Facebook Dimas (fb.com/100014063671563) pada 13 Januari 2023 mengunggah sebuah foto yang memperlihatkan Elon Musk yang tampak mengenakan baju kaos dengan logo Pi Network ke grup PI NETWORK INDONESIA dengan narasi sebagai berikut: Woow elon pun nambang koin pi Network juga,TRUE
5866,Hukum4n M4ti Di Jatuhkan Tangis Histeris Keluarga Pecah. Nasib SAMBO Berakhir Begini!!”,Akun Facebook Legend Quotes (fb.com/112002048141411) pada 9 Januari 2023 mengunggah sebuah video dengan narasi: Hukum4n M4ti Di Jatuhkan Tangis Histeris Keluarga Pecah. Nasib SAMBO Berakhir Begini !!,TRUE
5867,"Giveaway Baim Wong melalui akun Bonskuy,.”","Akun Facebook Bonskuy,. (fb.com/100076122249107) pada 12 Januari 2023 melakukan siaran langsung dengan konten kegiatan bagi-bagi hadiah oleh artis Baim Wong dengan narasi sebagai berikut: KHUSUS HARI INI GIVE AWAY SENILAI 100JT TULIS TANGGAL LAHIR KALIAN",TRUE
5868,Poster WASPADA PENCULIKAN ANAK”,"Akun Facebook Risma Aqila (fb.com/risma.bondenk.7) pada 12 Januari 2023 menunggah sebuah gambar poster yang terdapat tulisan WASPADA PENCULIKAN ANAK dan foto wajah 9 orang yang diklaim sebagai wajah penculik anak dengan narasi sebagai berikut: tanja nh tong knp, Bukan anak mu kau jual organ tubuhx atau Organ tubuhmu sendri kau jual,hati²q jga anak ta",TRUE
5869,Latto-latto Artinya Adalah Aku Yahudi,"Ternyata Lato latto itu konspirasi remason dan iluminasi..!! Lato artinya Aku Latto artinya Yahudi Ternyata permainan adu buah.. :rolling_on_the_floor_laughing: LATO LATTO artinya Aku YAHUDI:bangbang: Inilah era kebodohan dgn dalih LATAH Viral dikit ngikut, segitu bodohnya tanpa tau perkara yg di ikuti",TRUE
5870,Video 8 Partai Politik Siapkan Cawapres Anies,PDIP Kejang-kejang… 8 PARTAI BERSATU 5 TOKOH KUAT SIAPKAN JADI CAWAPRES ANIES,TRUE
5871,KOTA SENTANI PAPUA MENJADI LAUTAN API USAI DIBAKAR OLEH PERUSUH”,"Malam ini suasana di kota Sentani Papuai memanas terjadi pembakaran kota yang dilakukan oleh para perusuh, bahkan informasi yang didapat sudah banyak korban dari pendatang. Indonesia harusnya melepaskan Papua yang selama ini dimarjinalkan oleh NEGARA INDONESIA",TRUE
5872,Video Salju Turun di Masjidil Haram,(Diterjemahkan ke Bahasa Indonesia): Gambar bersejarah dari Kabah. Masjidil Haram diselimuti warna putih karena salju yang turun.,TRUE
5873,"Foto Bulan Purnama di Gunung Fuji, Jepang","(Diterjemahkan ke Bahasa Indonesia): Bulan purnama di atas Gunung Fuji, Jepang.",TRUE
5874,Eksekusi Mati Ferdy Sambo Akan Dilakukan Tengah Malam,"semoga tenang disana, eksekusi mati akan dilakukan tengah malam nanti",TRUE
5875,Pesan WhatsApp HUT PT KAI Ke-77 Membagikan Haidah Rp2 Juta,http://fuelpeel[dot]cn/KAIWA/tb[dot]php?jw=js1672791872753. KAI anniversary Sudsidi pemerintah HUT 77 PT KAI Hadiah HUT PT KAI Ultah kereta api KAI 77 th Aniversary subsidi supsidi pemerintah hut kai ke-77 KAI 77 th Aniversary subsidi,TRUE
5876,Akun WhatsApp Plt Bupati Bogor Iwan Setiawan 0838-9365-8076,"Assalamualaikum wr wb Benar dengan pengurus MASJID AL -FALAH Yang berlokasi di KP. CIBEBER RT 02 RW 06 DESA CURUG BITUNG NANGGUNG, KAB BOGOR JAWA BARAT Waalaikumsalam Iya Alhamdulillah kalau boleh tahu ini dengan Bapak siapa? Saya Bapak Iwan Setiawan Wakil Bupati Bogor, Disini saya menyampaikan di awal tahun 223. Ada program bantuan dana hibah untuk pembangunan atau kebutuhan Masjid. Mungkin dari pihak pengurus Masjid ada rencana renopasi atau pembelian untuk kebutuhan/keperluan Masjid.",TRUE
5877,Akun WhatsApp Wakil Wali Kota Pasuruan Adi Wibowo +62881-5706542,assalamualaikum wr wb apakah benar dengan pengurus MASJID AL-MUKHLISIN Iya ada apa,TRUE
5878,Akun WhatsApp Wakil Bupati Solok Jon Pandu,Assalamualaikum wr wb Apakah benar dengan pengurus MASJID JIHAD,TRUE
5879,Uya Kuya Hipnotis Aldilla Jelita Istri Indra Bekti,"HARI INI! Akhirnya Terb0ngk4r, Uya Kuya Hipn0tis Istri Indra Bekti, Begini Ungkapnya",TRUE
5880,Video Ibu dari Norma Risma yang Hamil Anak Menantunya,HASIL DNA SUDAH KELUAR!! anak yang dikandung ibu dari Norma Risma adalah anak menantunya!!,TRUE
5881,Arca Jaman Majapahit Memegang Lato-Lato,Arca jaman majapahit memegang lato lato.,TRUE
5882,Kaesang Pangarep Tanggung Semua Biaya Pengobatan Indra Bekti,mengejutkan ! kaesang dan erina gundono ! bakal tanggung semua biaya pengobatan indra bekti,TRUE
5883,"Video gempa Dari #Indonesia Magnitudo 7,7, getaran terasa lebih dari 2000 kilometer”","Akun Facebook Amber Sharma (fb.com/amber.sharma.mowgli.productions) pada 10 Januari 2023 mengunggah sebuah video yang memperlihatkan kejadian gempa dengan narasi sebagai berikut: #earthquake Video From #Indonesia Magnitude 7.7, tremors felt over 2000 kilometers. Nature is very fragile & We humans are playing with Mother #Nature. atau yang jika diterjemahkan: Video gempa Dari #Indonesia Magnitudo 7,7, getaran terasa lebih dari 2000 kilometer. Alam sangat rapuh & Kita manusia sedang bermain dengan Ibu Pertiwi.",TRUE
5884,” FERDY SAMBO KAGET JESSICA KUMALA BONGKAR BUKTI INI DI DEPAN HAKIM”,Ferdy Sambo Langsung K4G3T S3k3tika Jessica Kumala B3rik4n BVKT1 Ini Depan H4k1m…,TRUE
5885,EMAIL PROGRAM KERJA SAMA SHOPEE DAN MAXIM BERHADIAH RP3 JUTA,"Akun Twitter bernama @Jinnymyeonni mengunggah sebuah tangkapan layar berisi Email seputar informasi kerja sama yang dilakukan oleh dua pihak yakni antara Shopee Indonesia dengan Maxim. Menurut narasi yang terdapat pada badan Email tersebut, penerima Email diminta untuk mengklik tautan dengan iming-iming akan mendapat dana sejumlah Rp3.000.000. NARASI: Hai , ini hasil kerja sama maxim dan Shopee Terima kasih sudah memverifikasi dan pastikan juga untuk Upgrade SPaylater atau SPinjam Sebagai Syarat untuk proses menerima Dana Pemenang Shopee Promo Rp 3.000.000. http://bit[dot]ly/hubungkan-kredivo https://shopee[dot]co[dot]id/m/pelajaro-spinjam https://shopee[dot]co[dot]id/m/SPayLater-Beli-Sekarang-Bayar",TRUE
5886,Video RAJA SALMAN NGAMUK ARAB SAUDI SIAP BANTU Indonesia KONFLIK PULAU PASIR NTT INDONESIA VS AUSTRALIA”,NARASI: TERKINI !! RAJA SALMAN NGAMUK ! ARAB SAUDI SIAP BANTU Indonesia Ku – KONFLIK PULAU PASIR NTT (NUSA TENGGARA TIMUR) INDONESIA VS AUSTRALIA . . . Sumber ytb:@PANGLIMA TEMPUR #indonesiaku #indonesia #arab #arabsaudi #rajasalman #konflik #australia #pulaupasir #ntt #tni #nkri #militer #terkini #viral.,TRUE
5887,Video Kehancuran Tatanan Dunia Pecah Di Pulau Pasir – Tidak Ada Kata Ampuh Bagi Negara Pengganggu”,NARASI: BERITA TERKINI!! Kehancuran Tatanan Dunia Pecah Di Pulau Pasir – Tidak Ada Kata Ampuh Bagi Negara Pengganggu.,TRUE
5888,Video Bela Indonesia Jerman surati Australia segera menyerah Jika tak mau jadi ukraina ke dua”,"NARASI: Bela Indonesi4…!!! Jerm4n tiba2 surati Austr4li4 segera menyerah, Jika tak mau jadi ukraina ke dua.",TRUE
5889,Video Ri Tolak Perdamaian Tingkatkan Serangan Brutal Ke Kota Kuala Lumpur Malaysia”,NARASI: Ri Tolak Perdamaian !! Tingkatkan Serangan Brutal Ke Kota Kuala Lumpur Malaysia.,TRUE
5890,Video Kurang Ajar Malaysia Punya Niat Busuk Ini Pada Indonesia”,NARASI: Kurang Ajar!! Malaysia Punya Niat Busuk Ini Pada Indonesia.,TRUE
5891,"Video Australia keok gak mampu hadapi Indonesia, minta bantuan ke iran”","NARASI: Australia keok gak mampu hadapi Indonesia, minta bantuan ke iran",TRUE
5892,FIFA AKAN PAJANG KAKI PELE DI MUSEUM,"Kaki Pele dikabarkan akan dipajang di Museum, FIFA sudah meminta izin keluarga Pele. Keluarga Pele juga sudah mengizinkan. 📰 TNT Sport Brazil",TRUE
5893,DETIK-DETIK BABI BERUBAH MENJADI MANUSIA,JELAS-JELAS TEREKAM KAMERA DETIK-DETIK BABI BERUBAH MENJADI MANUSIA INI TERTANGKAP SETELAH KEDAPATAN MENCURI UANG WARGA,TRUE
5894,"Akibat Sumur Resapan Amblas, Sebuah Mobil Terperosok",Bahaya sumur resapan 😱😱🤭,TRUE
5895,Pesan Whatsapp Bantuan BPJS Kesehatan Sebesar 100 Juta Rupiah,ASSALAMUALAIKUM SELAMAT WA/NO ANDA Terpilih mendapatkan dana bantuan/bansos (bantuan sosial) dari BPJS Kesehatan IDR:100.000.000(seratus juta) ID PENERIMA URUTAN KE-7 (7DL27K) KEGUNAAN DANA BANTUAN BPJS INI: 1.BIAYA BEROBAT 2.BIAYA SEKOLAH 3.MODAL USAHA 4.MEMBANGUN TEMPAT TINGGAL(RUMAH) Info lebih lanjut kunjungin Web BPJS Kesehatan: tinyurl.com/real-bansosbpjs-pusat jika mana anda minta dana bantuan tersebut silakan WhAtsapp direktur pihak bjps: +6281351960588″ INFO RESMI.... selamat anda terpilih sebagai penerima dana bantuan dari BPJS pusat sebesar RP.125.000.000 Info Ketik (KLAIM DANA BANTUAN) Kirim ke WhatsApp: 0821-9390-1717 PENANGGUNG JAWAB: DRS.MUH.BAKRI.MSI ,TRUE
5896,Penyanyi Dangdut Aty Kodong Meninggal Dunia,"Innalillahi, Aty Kodong Mendadak Meninggal Dunia, Sederet Artis dan Sahabat Tak Percaya Secepat Ini",TRUE
5897,Foto Kaesang pakai baju kaos dengan logo palu arit”,"Akun Twitter Pemburu Kebenaran (twitter.com/Mencaricinta99) pada 7 Januari 2023 menunggah sebuah gambar yang menunjukkan Kaesang Pangarep yang mengenakan baju kaos yang terdapat logo palu arit dengan narasi sebagai berikut: Apa yg nampak dan di tunjukan, sering kali adalah simbol kecendrungan dan apa yg sebenarnya diinginkan.",TRUE
5898,Anies mendapatkan gelar Liem Ay Bon,BERPOLITIK IDENTITAS LAGI DAN LAGI SAMPAI ANIES DAPAT GELAR DAN DIBERI NAMA TIONGHOA YOHANES ANIES LIEM AY BON WESEDA,TRUE
5899,Foto Anies sedang Makan di Warung Sederhana Babi Guling,WARUNG SEDERHANA BABI GULING Caption Makan dulu kadrun,TRUE
5900,"MERENDAM KAKI MENGGUNAKAN MINYAK TANAH, GARAM DAN ES BATU DAPAT MEREDAKAN KOLESTEROL, ASAM URAT DAN DARAH TINGGI”","Begini cara mengobati penyakit asam urat,kolestrol,tekanan darah tinggi.. Bahan yg di gunakan : 1.minyak tanah 1 liter 2.garam dapur 1 bks 3.es batu 2 bungkus di hancurkan / minyak tanah Diaduk didalam tempat seperti gambar di bawah ini lalu rendam kaki kita sampai semampu kita menahan rasa sakitnya",TRUE
5901,Video Putri Duyung Afrika,"TERNYATA BENAR ADA..! NELAYAN INI MENAIKAN JALA, APA YG MEREKA TANGKAP TERNYATA BUKAN IKAN MELAINKAN PUTRI DUYUNG.. PUTRI DUYUNG AFRIKA",TRUE
5902,Lesty Meninggal Dunia Dibunuh Orang Tak Dikenal,"Innalillahi, Lesti Meninggal Dunia Dibunuh Orang Tak Dikenal",TRUE
5903,Anies Baswedan Berselingkuh dengan Dhena Devanka,Anies kadrun ternyata berselingkuh dengan Dhena Devanka dan sudah menikah siri di Singapura!!,TRUE
5904,"PDIP Tampakkan Wajah, di 2024 Duet Ganjar Ahok Diumumkan Ke Publik","Zona Panas (NASDEM vs PDIP) Demi Selamatkan Indonesia, Mega Resmi Deklarasikan ini.!!",TRUE
5905,Fenomena Solstis Menyebabkan Matahari Terbit dan Terbenam Berhenti Serta Berbalik Arah,Ada apa di tanggal 21 Desember 2022?. Penghentian matahari terbit dan terbenam berhenti dan berbalik arah.,TRUE
5906,Gereja Capela dos Ossos di Portugal Dibangun dari Tulang Belulang Umat Islam Andalusia,"Gereja.. Capela dos Ossos. Dibangun dari tulang belulang umat Islam Andalusia.. Dipaksa masuk kristen tp menolak, akhirnya dibantai. Struktur ini terletak di Evora, Portugal.",TRUE
5907,Video Selebrasi Kroasia Setelah Menang dari Brazil di Piala Dunia 2022,(Diterjemahkan ke Bahasa Indonesia): Ini adalah perayaan di Kroasia setelah menang atas Brasil di #FIFAWorldCupQatar2022 @FIFAWorldCup.,TRUE
5908,WARGA RAYAKAN PENANGKAPAN BUPATI CIANJUR TERKAIT PENGGELAPAN DANA BANSOS UNTUK KORBAN GEMPA.,WARGA BERSUKA CITA SEJENAK MAKAN BERSAMA SETELAH BUPATI CIANJUR DARI KADER PDIP DITANGKAP KRN KORUPSI MENGELAPKAN DANA BANSOS & BANTUAN SOSIAL LAINNYA TUK KORBAN CIANJUR . GIMANA MENURUT-MU GAES ??,TRUE
5909,BAIM PAULA BAGIKAN 23 MOBIL TOYOTA ALPHARD GRATIS DALAM RANGKA MENYAMBUT TAHUN BARU 2023,"Halo semuanya...kami telah memutuskan dalam rangka menyambut tahun baru 2023, Kami akan memberikan 23 Mobil Toyota Alphard gratis kepada seseorang secara acak yang berhasil mengetik warna favorite contoh Putih sebelum tanggal 10 Januari 2023 semoga beruntung. Konfirmasi hadiah whatsapp admin di bawah :point_down: https://wa(dot)me/message/PE3OOOWECLTPG1",TRUE
5910,FAJAR SADBOY MENINGGAL DUNIA AKIBAT KECELAKAAN MOBIL DI JALAN TOL”,"Fajar sadboy mengalami kecelakaan di jalan tol yang mengakibatkan fajar meninggal dunia pukul 00:07, selamat jalan fajar sadboy, semoga tenang di alam allah #fajarsadboy #kecelakaan #tol #denicagur #pagipagiambyarttv #dewipersik #attahalilintar #fyp",TRUE
5911,PESAWAT INI HILANG TIBA-TIBA MENDARAT 37 TAHUN KEMUDIAN.,Pesawat ini hilang & tiba2 37 tahun kemudian mendarat. Petugas bandara aja sampe kaget. (Dalam narasi video),TRUE
5912,VIDEO CARA MENGATASI KEBOCORAN TABUNG GAS 3KG DENGAAN CARA MERENDAM TABUNG KE AIR”,#lawyertiktok #persittangguh sekilas info semoga bermanfaat Mengatasi kebocoran gas Benar atau salah atasi kebocoran tabung gas 3kg dengan cara merendam tabung ke air? Cek tabung gas 3 kg Benar atau salah atasi kebocoran tabung gas 3 kg dg cara merendam tabung gas ke air Benar atau salah cara ngatasi gas bocor dg masukin tabunh gas ke air Postingan gas bocor direndam ke air,TRUE
5913,Gambar Tangkapan Layar Artikel Detiknews jokowi resmikan bendrera indonesia terbaru”,jokowi resmikan bendrera indonesia terbaru,TRUE
5914,"Innalillahi Indra Bekti Meninggal Dunia, Istri dan Anak Indra Menangis Pecah","Innalilahi Indra Bekti meninggal dunia, Istri dan anak Indra menangis pecah",TRUE
5915,yg sebabkan roda truk ambles adalah galian kabel di jalan”,"Akun Twitter Cek Hoaks (twitter.com/CekHoaks) pada 1 Januari 2023 mengunggah sebuah postingan yang berisi gambar tangkapan layar cuitan dari Addie MS dan potongan artikel terkait terprosoknya sebuah truk molen ke lubang sumur resapan dengan narasi sebagai berikut: @addiems hoaks. Katanya truk ambles rodanya gara2 sumur resapan. Faktanya, yg sebabkan roda truk ambles adalah galian kabel di jalan. Lobang sumur resapannya sendiri di pinggir & tertutup kokoh. Cek hoaks vs faktanya",TRUE
5916,"Foto ribuan orang mengantri untuk membeli jam tangan pintar Jepang ini, kekurangan oksigen menyebabkan banyak orang pingsan”","Akun Facebook Ahmad Umami (fb.com/105227885539818) pada 30 Desember 2022 mengunggah sebuah postingan dengan sebagian narasi sebagai berikut: Tim penyelamat harus menyelamatkan ratusan orang dari Indonesia Mall Saat ribuan orang mengantri untuk membeli jam tangan pintar Jepang ini, kekurangan oksigen menyebabkan banyak orang pingsan.",TRUE
5917,Foto Tahun Baru Mencekam Malaysia !! Serangan Darat Besar Besaran Pasukan Ri Terhadap Malaysia”,Akun Facebook Icha 40 (fb.com/101482102662220) pada 2 Januari 2023 menunggah sebuah video yang terdapat foto pasukan yang sedang menembak dengan narasi sebagai berikut: Tahun Baru Mencekam Malaysia !! Serangan Darat Besar Besaran Pasukan Ri Terhadap Malaysia,TRUE
5918,Foto Laudya cynthia bella resmi menikah kedua kali bersama dimas beck”,Akun Facebook Gentina (fb.com/Mediagadogado18) pada 28 Desember 2022 mengunggah sebuah video yang terdapat foto Laudya Cynthia Bella dan Dimas Beck yang menggunakan gaun pengantin dengan narasi: Laudya cynthia bella resmi menikah kedua kali bersama dimas beck !!! #officialgentina #pasanganartis #originalvideo,TRUE
5919,Pesan Berantai Waspada Gelombang Pasang di Kalimantan Timur dari BMKG,"Kabar tentang Badan Meteorologi Klimatologi dan Geofisika (BMKG) memberikan imbauan untuk mewaspadai gelombang pasang di sejumlah tempat wisata di Kalimantan Timur beredar di media sosial. Informasi tersebut beredar lewat pesan berantai di aplikasi percakapan WhatsApp sejak 28 Desember 2022. Dalam pesan berantai itu BMKG meminta masyarakat mewaspadai adanya gelombang pasang di lokasi wisata di Kalimantan Timur. Mulai dari Pantai Lamaru hingga Kepulauan Berau. Dapet dari grup sebelah 🙏 *Info dari BMKG 😘 Mohon maaf kepada seluruh warga masyarakat dihimbau apabila akan melakukan Liburan wisata Tahun Baru 2023 di Kaltim dengan tujuan ke Pantai-pantai Berikut : 1. *Pantai Lamaru* 2. *Pantai Manggar* 3. *Pantai Samboja* 4. *Pantai Muara Badak* 5. *Pantai Pemedas* 6. *Pantai Tanjung harapan* 7. *Pantai Sambera* 8. *Pantai P.Beras Bontang* 9. *Pantai di Sangatta* 10.*Pantai dan Pulau2 Di Berau* 11.*Dan lain lainnya*... Untuk sementara agar supaya *Ditunda dulu* karena sangat berpotensi terjadinya gelombang pasang yang dapat menghanyutkan apa saja yang ada di sekitar pantai . . ! *Demikian untuk diwaspadai*Terima kasih.., demikian narasi dalam pesan berantai tersebut.",TRUE
5920,Pembagian Dana Bansos Rp 100 Juta dari BPJS Kesehatan,Cek Fakta Liputan6.com mendapati informasi pembagian dana bansos Rp 100 juta dari BPJS Kesehatan. Kabar tersebut beredar lewat aplikasi WhatsApp. Berikut informasi pembagian dana bansos Rp 100 juta dari BPJS Kesehatan. SELAMAT WA/NO ANDA Terpilih mendapatkan dana bantuan/bansos (bantuan sosial) dari BPJS Kesehatan IDR:100.000.000(seratus juta) ID PENERIMA URUTAN KE-7 (7DL27K) KEGUNAAN DANA BANTUAN BPJS INI: 1.BIAYA BEROBAT 2.BIAYA SEKOLAH 3.MODAL USAHA 4.MEMBANGUN TEMPAT TINGGAL(RUMAH) Info lebih lanjut kunjungi Web BPJS Kesehatan: tinyurl.com/real-bansosbpjs-pusat Atau hubungi WA:+62813-5196-0667 TERIMAH KASIH,TRUE
5921,GADING MARTEN RESMI MUALLAF DIPANDU ABDUL SOMAD DEPAN ROY MARTEN”,TANPA RAYAKAN NATAL INILAH DETIK-DETIK GADING MARTEN MUALLAF DIDEPAN USTAD ABDUL SOMAD Gading martin mualaf,TRUE
5922,"SERANGAN GILA INDONESIA TEWASKAN RATUSAN TENTARA AUSTRALIA,,MAYAT BERSERAKAN DI PULAU","Akun Youtube SARJANA MILITER mengunggah sebuah video pada tanggal 13 Desember 2022 dengan judul SERANGAN GILA INDONESIA TEWASKAN RATUSAN TENTARA AUSTRALIA,,MAYAT BERSERAKAN DI PULAU. Dalam video ditunjukkan arena perang dengan senjata dan kendaraan perang serta menampilkan video Perdana Menteri Australia yang sedang menyampaikan pernyataan dengan narasi: Perdana Menteri Australia mengklaim bahwa militer Austalia tetap kalah dalam peluncuran senjata berat dan jumlah tentara dari Indonesia",TRUE
5923,Luna Maya Menikah dengan Gading Marten,HARI INI || AKHIRNYA RESMI MENIKAH LUNA MAYA DAN GADING MARTIN SETELAH LAMA BERJALIN HUBUNGAN ASMARA Luna maya nikah sama gading marten,TRUE
5924,Mitsubishi Pajero Dibagikan Gratis Hanya Dengan Ketik Kata Menang di Facebook,"Beredar di media sosial postingan yang menyebut dua mobil Mitsubishi Pajero dibagikan gratis hanya dengan mengetikkan kata tertentu di Facebook. Postingan ini beredar sejak beberapa waktu lalu. Salah satu akun ada yang mempostingnya di Facebook. Akun itu mengunggahnya pada 18 November 2022. Berikut isi postingannya: Selamat kepada Ibu Siti karena memenangkan Mitsubishi Pajero! Kami masih memiliki 2 lagi untuk menang, cukup ketik Menang Hingga saat ini postingan tersebut sudah mendapat 307 ribu komentar dan dibagikan sebanyak 1800 kali.",TRUE
5925,Range Rover Bagi-Bagi Hadiah Mobil Rayakan HUT ke-54,"Kabar tentang Range Rover membagikan hadiah mobil gratis untuk merayakan HUT ke 54 beredar di media sosial. Kabar tersebut disebarkan akun Facebook Range Rover Sport V6 pada 9 November 2022. Akun Facebook tersebut mengunggah narasi berisi Range Rover akan membagikan mobil gratis untuk merayakan HUT ke 54. Bagi pengguna Facebook yang ingin mendapatkan mobil gratis, diminta untuk menulis warna mobil favorit di kolom komentar. Kami telah memutuskan pada ulang tahun ke-54 kami untuk memberikan 4 Range Rover Sport 2022 baru kepada seseorang yang menulis warna favoritnya. Contoh Putih, tulis akun Facebook tersebut. Selanjutnya, pengguna Facebook juga diminta membagikan postingan akun Facebook tersebut ke 10 grup berbeda. Ikuti halaman ini, lalu bagikan postingan ini ke 10 grup facebook Anda dan tandai 8 teman Anda, peluang menang akan lebih besar. terima kasih, tulis akun Facebook tersebut. Konten yang disebarkan akun Facebook tersebut telah 13 ribu kali dibagikan dan mendapat 38 ribu komentar dari warganet.",TRUE
5926,"Gambar Tangkap Layar Artikel CNN Indonesia, Heru Budi: Saya disuruh Jokowi Acak-Acak Kerja Anis Biar Nampak Kerja Saya”","Jika benar begitu betapa bobroknya mental & Akhlaq pejabat model gini di rezim perusak, Ternyata dia pengangguran penjilat Tanpa jabatan dia takut nganggur, takut miskin, takut gak makan, takut anak istrinya juga keluarga besarnya gak makan .. kesian  wallohualam:thinking_face::thinking_face::-1::-1::thinking_face::thinking_face:",TRUE
5927,Kedatangan Rombongan Dokter Tiongkok ke Indonesia Untuk Pembunuhan Massal,"Beredar sebuah video melalui pesan WhatsApp mengenai kedatangan rombongan Dokter Tiongkok dengan menggunakan APD lengkap di sebuah pelabuhan Indonesia. Video yang dibagikan tersebut juga disertakan dengan pesan yang menyebutkan tudingan bahwa rombongan dokter tersebut sengaja dipesan untuk tujuan melakukan pembunuhan massal melalui suntikan vaksin. Narasi: *JAGA SAJA,JIKA DOKTER2 MAU SUNTIK KITA, KELUARGA KITA ATAU TETANGGA DENGAN ALASAN MAU PENCEGAHAN VAKSIN ATAU ANTI VIRUS,ADA INDIKASI RENCANA BUSUK TIONGKOK DISELUNDUPKAN INDONESIA KUDU BERHATI- HATI JIKA PEMERINTAH MEMBERIKAN KEBIJAKAN2 WAJIB TOLAK MENTAH2 KARENA INI ADA RENCANA PEMBUNUHAN MASSAL UNTUK WARGA PRIBUMI..MEREKA TAU JIKA ANIES SAMPAI CHINA TIONGKOK AKAN BANGKRUT!!WASPADALAH INI DOKTER-DOKTER PESANAN PEMBUNUHAN MASSAL TEAM DOKTER DR CHINA DIPELABUHAN- PELABUHAN..RAKYAT NAIK JADI PRESIDEN MAKA PROYEK PROYEK MEREKADR TIONGKOK SENGAJA UNTUK MEMBANTAI RAKYAT INDONESIA SECARA PERLAHAN-LAHAN",TRUE
5928,Video TikTok Waspada Cuaca Ekstrem 29-30 Desember 2022”,NARASI: * Waspada Cuaca Ekstrem 29-30 Desember 2022 (di video). * awas bencana Alam #saatnyaindonesia #bogordailynews #beranibersuara #trending (di post).,TRUE
5929,Imam Masjid di Arab Saudi Dijatuhkan Secara Paksa Karena Mengkritik Pemerintah”,"Tragedi KHOTBAH JUMAT Imam masjid di Arab Saudi setelah mengatakan bahwa saat ini dalam hal agama pemerintah telah GAGAL dalam pemerintahannya, pemerintah sekarang telah menjadi Agen Amerika dan Israel Setelah berbicara langsung, petugas menurunkannya secara paksa dari mimbar dan menjatuhkan hukuman gantung Juga di Arab Saudi telah dibuat undang-undang bahwa ketika para imam masjid-masjid haram (IN MEKAH) dan di Madinah menyampaikan hak-2 (TRUTH) mereka untuk mengkritik pemerintah maka mereka akan ditangguhkan (DIHUKUM MATI) (Google Translate, diterjemahkan dari bahasa Melayu).",TRUE
5930,Ketua Pengadilan Menyatakan Richard Eliezer Telah Bebas,akhirnya bebas murni,TRUE
5931,"Pasca KTT G20 di Bali, Indonesia Tambah Utang Baru Rp314 Triliun","Hasil KTT G20 Bali, Indonesia Dapat Tambahan Utang Baru Rp314 Triliun",TRUE
5932,Verell Bramasta Ditangkap Polisi Setelah Melakukan Kekerasan pada Wartawan,"Verrel Bramasta jadi tersangka kekerasan terhadap wartawan salah satu media yang mewawancarai, dan dia terjerat hukuman selama 20 hari di penjara.",TRUE
5933,"Tidak Untung Selama 7 Bulan, Ahok Bubarkan Pertamina","VIRAL! Sesumbar Ahok: 7 Bulan Gak Untung Gua Bubarin, Ehh Sekarang Tekor 11 Triliun",TRUE
5934,Kas Negara Menipis Maruf Amin Minta Masyarakat Bantu Pemerintah,Maruf Amin kas negara menipis minta tolong rakyat bantu Pemerintah negara kesusahan,TRUE
5935,Luhut Akhirnya Ditangkap! Ternyata Hasil Kekayaannya Adalah Hasil Merugikan Negara, Berita Terkini ~ Akhirnya si orang ini ditangkap KPK malam ini !?? | viral hari ini,TRUE
5936,"HANCUR LEBUR!!HARI INI PELABUHAN MERAK MUSNAH, OMBAK BESAR TENGGELAMKAN 12 KAPAL?"," Hancur Lebur! Hari ini Pelabuhan Merak Musnah, Ombak Besar Tenggelamkan 12 Kapal",TRUE
5937,Akun Facebook Anggota Polres Trenggalek Menawarkan Kendaraan,Beredar akun Facebook anggota Polres Trenggalek Shierlyana Maharani dengan nama akun Facebook Lia Liailia (Lia. Dalam akun tersebut terdapat keterangan menjual motor berkualitas dengan harga murah dan melayani pengiriman luar kota.,TRUE
